N,P,K,temperature,humidity,ph,rainfall,label
29.39,68.94,16.69,28.38,49.02,6.3,113.92,pigeonpeas
39.47,75.08,21.2,31.73,48.3,5.77,147.13,pigeonpeas
26.55,61.29,20.67,31.0,34.74,5.82,133.63,pigeonpeas
36.33,70.28,17.33,33.08,37.62,6.79,132.04,pigeonpeas
24.44,74.13,17.43,26.96,45.33,6.77,103.22,pigeonpeas
8.01,65.24,21.1,35.4,46.29,6.04,176.73,pigeonpeas
13.78,65.56,20.38,32.96,45.92,6.27,76.57,pigeonpeas
21.05,69.77,18.04,31.69,53.57,6.08,149.69,pigeonpeas
19.22,66.47,21.22,32.01,45.31,6.36,164.65,pigeonpeas
12.7,73.3,19.33,32.88,59.58,5.56,125.49,pigeonpeas
23.27,63.58,23.47,28.72,45.56,6.35,111.94,pigeonpeas
22.63,69.09,19.33,31.2,45.77,5.49,153.84,pigeonpeas
35.53,67.59,20.45,33.75,39.85,7.1,150.56,pigeonpeas
34.79,63.83,23.64,34.02,54.42,6.37,138.17,pigeonpeas
32.2,68.2,16.07,27.87,48.51,6.4,143.44,pigeonpeas
32.31,57.74,20.29,25.59,56.08,6.2,156.54,pigeonpeas
19.82,73.9,22.08,33.4,48.96,6.54,125.56,pigeonpeas
30.13,75.75,22.14,29.13,52.89,5.6,160.74,pigeonpeas
27.7,58.15,17.68,30.58,47.59,5.65,155.7,pigeonpeas
26.51,66.53,18.49,34.91,63.24,6.01,128.17,pigeonpeas
27.95,65.71,19.72,33.9,34.73,6.91,147.0,pigeonpeas
22.53,67.05,19.92,25.87,61.96,6.27,157.18,pigeonpeas
30.71,62.39,20.95,30.63,56.77,5.19,142.27,pigeonpeas
21.38,69.66,20.94,29.2,44.3,6.19,120.34,pigeonpeas
30.05,65.65,14.19,30.28,41.69,5.43,110.97,pigeonpeas
25.66,74.14,20.63,29.53,53.65,6.02,125.9,pigeonpeas
18.07,58.74,19.22,32.01,49.23,6.04,118.99,pigeonpeas
28.65,60.91,21.55,28.24,43.98,5.52,131.21,pigeonpeas
30.85,70.08,21.96,33.2,41.17,6.08,123.54,pigeonpeas
32.98,61.52,21.79,34.4,64.64,6.05,164.59,pigeonpeas
38.69,64.41,16.93,25.39,55.7,5.31,134.76,pigeonpeas
27.62,68.43,20.85,32.22,60.23,5.77,126.38,pigeonpeas
20.36,71.65,21.8,32.97,59.47,5.66,190.85,pigeonpeas
34.14,71.18,23.56,26.12,45.8,5.88,164.84,pigeonpeas
18.7,71.29,22.74,33.76,52.27,5.76,121.71,pigeonpeas
32.5,71.4,19.92,30.14,33.79,5.71,197.56,pigeonpeas
17.32,68.45,22.01,27.42,51.48,6.72,145.34,pigeonpeas
42.21,59.16,22.12,30.94,56.18,6.47,124.84,pigeonpeas
26.37,58.21,21.21,32.47,55.11,6.78,155.11,pigeonpeas
25.89,63.09,18.58,35.36,61.49,6.13,146.27,pigeonpeas
19.57,73.36,21.33,37.81,42.97,6.06,151.36,pigeonpeas
28.88,66.42,18.25,34.36,55.77,5.79,182.27,pigeonpeas
32.02,68.17,20.16,33.3,43.11,6.27,85.81,pigeonpeas
30.26,59.69,23.01,30.43,48.31,5.94,137.08,pigeonpeas
33.51,55.06,22.55,32.6,40.34,5.71,191.1,pigeonpeas
19.33,61.73,22.27,32.6,42.5,6.36,116.79,pigeonpeas
31.6,72.81,21.06,32.68,64.09,6.25,112.5,pigeonpeas
27.7,77.93,17.97,30.33,53.33,6.22,117.99,pigeonpeas
31.73,79.1,20.39,28.56,37.61,6.38,175.36,pigeonpeas
27.85,67.49,18.82,27.95,56.68,6.71,102.49,pigeonpeas
34.54,70.37,22.8,27.14,39.07,6.18,158.83,pigeonpeas
35.78,71.03,19.51,28.16,59.84,5.77,189.78,pigeonpeas
23.29,75.45,21.36,31.05,45.84,6.08,156.78,pigeonpeas
25.46,64.53,19.67,31.76,32.97,6.48,118.06,pigeonpeas
18.08,59.06,16.41,27.09,44.33,7.23,130.54,pigeonpeas
26.07,69.5,20.26,31.25,40.44,6.98,194.7,pigeonpeas
14.9,62.38,19.44,28.37,54.05,5.89,204.54,pigeonpeas
32.14,68.56,22.05,35.09,45.49,5.84,147.15,pigeonpeas
30.17,68.2,16.85,28.89,49.41,6.21,199.24,pigeonpeas
16.68,70.03,22.98,38.88,46.76,6.5,160.67,pigeonpeas
26.17,67.01,20.87,23.27,55.46,6.31,138.88,pigeonpeas
37.28,64.13,19.19,37.97,43.34,5.97,140.96,pigeonpeas
30.04,68.54,17.41,29.77,45.14,6.21,156.71,pigeonpeas
27.51,58.62,22.13,32.32,61.08,6.47,175.29,pigeonpeas
27.8,74.23,21.04,31.18,68.18,6.69,160.78,pigeonpeas
17.34,61.06,20.59,31.97,45.09,6.32,188.69,pigeonpeas
29.17,61.79,19.78,28.88,46.9,6.04,131.86,pigeonpeas
17.47,66.86,18.88,21.98,66.42,6.79,134.65,pigeonpeas
25.11,61.64,23.39,37.67,51.25,6.76,149.82,pigeonpeas
16.98,65.44,20.26,30.02,48.25,6.2,142.78,pigeonpeas
25.31,62.2,18.57,27.33,57.82,5.2,176.72,pigeonpeas
33.32,65.99,14.79,30.33,49.49,5.74,130.83,pigeonpeas
34.18,70.82,18.15,26.31,47.38,6.14,158.65,pigeonpeas
21.79,70.06,23.87,34.15,49.62,6.16,135.19,pigeonpeas
32.08,44.36,20.09,28.1,49.99,4.85,56.13,mothbeans
24.63,50.0,18.93,30.44,48.12,8.55,32.84,mothbeans
27.61,49.88,18.41,28.85,58.9,3.84,58.16,mothbeans
10.04,42.67,23.26,26.84,46.63,6.26,75.76,mothbeans
14.01,42.24,22.99,31.72,51.98,5.01,76.08,mothbeans
34.57,50.89,18.38,27.9,51.7,6.9,68.82,mothbeans
30.28,42.11,22.75,28.63,55.94,8.26,39.99,mothbeans
24.79,44.84,16.86,28.69,65.06,4.29,52.14,mothbeans
28.84,48.12,19.77,25.4,53.66,5.59,27.86,mothbeans
32.17,52.29,20.1,28.46,57.87,6.77,62.67,mothbeans
23.22,54.06,20.64,28.39,46.15,6.84,43.14,mothbeans
21.17,43.42,17.87,32.25,59.16,8.8,38.74,mothbeans
25.43,41.03,18.61,26.16,58.7,6.02,64.52,mothbeans
28.62,59.02,17.04,30.52,58.23,5.33,63.83,mothbeans
27.02,46.36,18.35,26.56,62.75,6.5,61.3,mothbeans
20.25,43.6,22.16,25.3,50.42,6.54,53.75,mothbeans
23.93,49.48,21.39,29.47,47.57,6.16,65.94,mothbeans
30.37,40.64,20.7,24.04,52.73,8.78,41.84,mothbeans
19.99,51.32,16.91,26.73,55.48,5.74,49.85,mothbeans
29.47,49.61,20.53,27.32,54.35,6.35,57.65,mothbeans
22.02,46.59,18.02,27.93,48.44,5.16,55.41,mothbeans
26.28,51.41,19.14,28.82,55.25,7.03,43.21,mothbeans
25.9,49.32,20.01,23.83,53.3,9.16,48.45,mothbeans
20.63,49.37,20.62,30.39,46.21,7.38,59.14,mothbeans
24.15,49.19,22.06,29.74,46.78,7.48,51.77,mothbeans
25.44,47.87,19.7,30.38,52.08,5.16,48.07,mothbeans
26.07,53.65,21.21,26.3,64.93,6.82,66.85,mothbeans
24.09,50.17,21.68,30.44,57.79,7.55,48.96,mothbeans
21.57,49.16,21.87,27.55,57.83,8.24,42.19,mothbeans
19.98,46.8,20.62,26.95,59.26,7.01,52.94,mothbeans
16.38,40.92,20.56,23.73,57.56,6.31,88.98,mothbeans
38.85,46.59,19.79,29.99,61.02,4.53,32.4,mothbeans
21.27,50.41,20.99,30.14,46.5,3.72,62.15,mothbeans
20.03,37.41,20.29,29.59,51.89,5.95,50.71,mothbeans
22.78,40.76,18.57,29.04,54.11,6.7,41.3,mothbeans
23.91,36.61,20.36,30.86,45.13,5.8,56.2,mothbeans
32.52,45.26,18.62,24.06,53.02,8.95,55.62,mothbeans
24.87,49.11,19.98,26.37,56.62,6.77,52.7,mothbeans
19.15,54.02,21.33,26.89,57.51,5.9,43.7,mothbeans
20.44,38.64,20.94,24.34,46.36,4.01,51.53,mothbeans
24.1,45.87,17.91,25.66,54.82,5.84,56.06,mothbeans
19.69,48.41,22.61,29.17,50.44,6.81,49.79,mothbeans
25.05,45.87,19.67,28.42,47.53,5.28,36.88,mothbeans
15.4,41.41,20.32,26.21,55.07,6.54,30.35,mothbeans
28.93,51.55,18.01,28.84,48.22,6.62,38.27,mothbeans
14.24,45.59,19.75,27.2,46.58,6.02,55.53,mothbeans
24.73,48.41,18.66,30.34,46.62,7.09,65.8,mothbeans
27.89,46.49,18.94,30.07,45.39,5.34,48.03,mothbeans
32.43,49.4,18.06,27.38,49.43,5.65,63.51,mothbeans
16.77,55.54,21.66,30.18,50.19,6.32,36.38,mothbeans
21.85,49.97,22.59,25.79,50.67,6.32,36.8,mothbeans
28.55,43.88,19.61,27.1,48.55,6.49,50.07,mothbeans
22.77,43.86,20.64,31.31,53.2,7.7,36.86,mothbeans
25.95,42.01,17.05,26.52,58.46,7.64,55.23,mothbeans
15.8,46.52,20.6,28.35,43.28,5.43,51.78,mothbeans
28.22,36.52,19.68,28.29,56.75,7.33,59.05,mothbeans
20.2,37.96,19.21,30.0,59.47,7.35,57.33,mothbeans
27.28,44.72,19.74,31.34,47.79,8.44,48.88,mothbeans
32.95,40.47,21.17,26.53,45.42,6.76,63.86,mothbeans
19.93,40.0,19.82,27.83,55.24,7.64,51.83,mothbeans
36.13,48.62,19.31,24.78,51.19,6.1,63.3,mothbeans
27.77,41.6,20.34,29.34,60.14,7.57,61.06,mothbeans
25.36,49.44,22.5,25.33,50.75,5.57,56.77,mothbeans
32.38,44.52,15.22,27.18,57.07,7.15,57.32,mothbeans
23.32,41.1,21.03,26.33,63.42,7.18,45.97,mothbeans
21.33,47.04,19.52,30.23,53.43,5.62,73.77,mothbeans
25.3,51.34,18.78,28.73,54.06,4.23,75.17,mothbeans
32.74,45.51,17.8,28.7,52.93,6.93,54.66,mothbeans
28.04,54.74,21.14,25.9,59.31,8.47,87.96,mothbeans
18.26,48.71,15.84,29.11,49.76,8.81,43.79,mothbeans
14.86,45.14,16.05,29.5,42.17,6.53,29.12,mothbeans
23.08,55.72,20.72,26.27,52.34,6.52,57.82,mothbeans
16.8,50.46,14.59,26.74,50.06,7.26,52.75,mothbeans
16.57,42.58,20.4,27.84,49.6,5.92,60.33,mothbeans
21.89,47.06,24.34,25.15,43.24,7.44,44.87,mothbeans
23.09,43.59,19.48,31.2,56.51,7.53,36.57,mothbeans
18.09,33.3,18.38,29.91,55.08,6.23,52.25,mothbeans
20.87,48.52,21.53,24.77,54.0,7.62,47.83,mothbeans
29.2,61.57,19.79,28.79,48.81,6.72,57.68,mothbeans
26.17,42.4,20.41,30.92,54.74,7.65,49.83,mothbeans
29.5,48.9,18.1,28.64,47.54,5.74,54.63,mothbeans
26.78,41.55,22.11,29.14,48.98,4.65,50.87,mothbeans
22.32,48.07,19.27,23.99,50.56,6.13,59.63,mothbeans
20.81,55.89,16.18,30.62,51.38,7.53,53.4,mothbeans
31.84,45.56,17.8,30.84,51.93,6.77,66.39,mothbeans
18.81,50.48,18.82,27.74,52.86,4.7,43.74,mothbeans
33.11,51.93,19.87,28.49,51.03,8.13,50.25,mothbeans
26.39,53.23,18.45,31.12,44.85,8.46,48.31,mothbeans
23.54,38.05,19.09,25.92,49.46,6.34,63.28,mothbeans
26.25,49.04,17.81,26.24,61.49,5.62,71.13,mothbeans
23.54,47.51,22.14,30.54,51.95,6.03,51.87,mothbeans
27.03,51.96,20.01,29.24,60.69,6.96,56.01,mothbeans
15.89,34.35,20.78,27.81,49.93,6.79,51.82,mothbeans
31.77,47.93,18.51,29.98,51.41,7.13,47.13,mothbeans
21.1,47.92,20.03,28.96,51.16,4.3,47.63,mothbeans
29.76,46.01,19.51,29.97,48.94,4.65,50.69,mothbeans
22.09,42.67,19.65,28.98,52.45,6.87,72.9,mothbeans
22.94,48.89,18.98,26.31,49.58,5.93,56.54,mothbeans
39.09,43.92,19.17,27.87,54.48,6.82,66.95,mothbeans
10.44,35.57,19.01,30.19,44.67,3.5,58.93,mothbeans
26.46,42.05,18.03,27.77,85.22,6.57,50.59,mungbean
7.87,43.22,17.75,28.31,83.92,6.86,35.88,mungbean
25.27,50.29,23.71,28.14,85.65,6.34,32.55,mungbean
30.07,47.47,22.36,27.47,86.04,7.07,50.12,mungbean
26.66,47.54,16.86,29.52,83.78,6.8,37.73,mungbean
17.92,54.68,19.31,29.59,84.84,6.33,53.08,mungbean
21.46,50.99,20.05,27.34,85.33,7.14,50.58,mungbean
24.65,52.88,20.42,28.66,82.82,6.75,53.97,mungbean
19.98,54.62,19.82,27.83,87.0,6.64,52.25,mungbean
23.25,47.2,20.99,28.72,81.01,6.48,53.31,mungbean
24.21,44.88,17.28,27.69,80.96,6.68,43.76,mungbean
19.2,47.16,20.73,30.07,81.98,6.93,53.58,mungbean
20.33,48.52,19.08,28.64,88.02,6.82,50.68,mungbean
22.42,40.08,19.58,29.4,81.95,6.49,48.29,mungbean
19.09,43.54,19.15,27.48,83.05,6.84,39.33,mungbean
15.41,44.35,21.46,28.35,84.07,6.71,36.59,mungbean
27.97,49.42,19.18,29.25,82.75,6.93,48.47,mungbean
22.98,47.4,19.79,29.42,82.85,6.55,53.98,mungbean
21.43,52.0,23.4,28.2,86.36,6.47,52.22,mungbean
26.2,49.87,18.71,27.25,86.01,6.29,45.52,mungbean
30.65,48.46,23.9,29.27,83.69,6.71,47.2,mungbean
15.51,42.8,18.88,26.97,85.09,6.65,37.04,mungbean
27.43,51.08,20.45,28.26,86.18,6.84,49.42,mungbean
20.05,48.88,22.39,28.05,89.2,6.59,47.7,mungbean
20.97,48.62,16.52,28.09,82.82,6.73,53.72,mungbean
28.88,35.64,24.08,28.72,83.45,6.73,48.6,mungbean
21.0,48.49,18.79,28.2,83.63,6.41,48.41,mungbean
28.51,50.07,21.64,28.74,83.93,6.87,39.02,mungbean
19.6,42.68,22.16,29.21,85.97,6.91,42.0,mungbean
27.09,46.87,21.69,28.41,84.23,6.81,52.98,mungbean
20.99,47.19,17.88,26.63,85.4,6.82,49.14,mungbean
13.3,45.75,15.56,29.53,82.83,6.95,53.41,mungbean
19.6,41.84,20.7,27.87,85.2,6.6,36.37,mungbean
11.62,48.63,18.88,28.09,86.39,6.93,45.8,mungbean
22.96,50.0,17.29,28.67,86.1,6.84,35.4,mungbean
20.43,43.11,20.2,28.86,87.99,6.6,44.39,mungbean
31.9,48.98,22.54,28.72,82.69,6.43,37.8,mungbean
28.97,53.44,23.7,29.13,87.33,6.58,40.27,mungbean
30.1,49.59,20.21,28.79,85.65,6.96,55.59,mungbean
28.27,51.73,21.03,28.15,86.51,6.42,54.09,mungbean
17.83,48.93,18.31,28.92,84.93,6.38,50.13,mungbean
21.53,51.91,20.0,28.8,83.08,6.58,44.63,mungbean
30.14,55.89,18.39,29.31,80.66,6.46,41.51,mungbean
16.88,39.58,20.83,28.34,85.76,6.84,49.16,mungbean
28.95,47.15,17.63,29.29,83.82,6.51,46.39,mungbean
19.52,45.41,20.69,28.76,83.2,6.6,54.21,mungbean
27.98,57.88,22.36,29.36,82.22,6.85,47.17,mungbean
21.69,48.34,21.89,28.88,83.24,6.85,43.52,mungbean
26.3,45.98,19.56,29.07,82.92,7.09,36.12,mungbean
21.41,49.35,21.17,28.42,84.89,6.78,46.06,mungbean
33.36,51.7,21.75,27.78,84.84,6.64,41.21,mungbean
27.16,44.81,21.31,27.7,88.44,6.52,48.87,mungbean
29.75,44.65,21.7,27.58,87.9,6.7,43.77,mungbean
23.2,51.54,18.83,27.94,84.56,6.46,58.88,mungbean
21.6,51.66,20.42,27.76,84.99,6.86,46.32,mungbean
32.16,52.61,21.84,28.16,82.84,6.58,48.73,mungbean
28.27,36.64,19.98,28.62,84.44,6.96,50.14,mungbean
32.86,46.42,21.87,29.73,87.62,6.48,45.91,mungbean
22.93,49.95,21.37,27.87,85.14,6.3,56.51,mungbean
21.93,47.78,19.38,29.36,79.32,6.7,46.84,mungbean
22.28,56.13,18.23,29.08,85.71,6.95,43.33,mungbean
20.6,52.98,20.85,27.34,83.92,6.78,52.74,mungbean
20.92,32.93,21.05,27.58,80.97,6.13,52.59,mungbean
25.77,46.37,22.78,28.98,88.23,6.42,47.28,mungbean
15.3,46.35,19.5,28.97,85.09,6.82,51.9,mungbean
37.93,45.92,18.12,28.68,83.4,7.0,45.73,mungbean
21.61,45.14,21.44,28.38,83.72,7.03,42.15,mungbean
25.21,50.76,16.74,28.86,82.89,6.86,41.48,mungbean
29.16,53.03,21.72,28.69,84.54,6.58,56.69,mungbean
20.8,42.31,21.33,27.9,83.1,6.41,44.48,mungbean
24.5,48.72,21.9,28.9,84.62,6.66,50.69,mungbean
32.64,48.13,19.06,27.76,82.11,6.83,51.11,mungbean
28.46,46.86,22.81,28.14,86.91,6.69,43.7,mungbean
28.56,49.55,20.71,28.56,84.92,7.18,54.9,mungbean
29.34,48.06,22.01,28.89,85.05,6.64,46.99,mungbean
5.98,48.55,19.02,29.69,85.04,6.46,47.19,mungbean
18.72,49.87,20.58,29.22,83.42,6.71,38.97,mungbean
29.21,50.09,20.99,28.5,85.83,7.02,45.72,mungbean
25.83,42.07,18.26,28.57,87.21,6.65,46.03,mungbean
22.56,44.83,20.59,27.38,87.56,6.57,52.01,mungbean
17.38,50.84,21.34,28.79,83.01,6.75,40.11,mungbean
23.48,52.65,21.59,28.51,83.05,6.83,47.62,mungbean
11.08,51.41,19.95,29.4,82.81,6.06,49.24,mungbean
26.75,39.05,18.04,30.57,84.39,6.85,43.43,mungbean
12.46,46.65,19.47,28.2,84.77,6.75,46.56,mungbean
17.42,49.93,16.1,26.96,86.48,6.8,47.14,mungbean
16.63,43.96,19.47,27.3,83.52,6.83,56.42,mungbean
22.48,51.28,16.17,28.99,83.39,6.76,45.95,mungbean
32.92,43.13,21.26,28.29,84.68,6.66,42.21,mungbean
24.92,47.19,20.48,28.56,86.6,6.88,40.93,mungbean
30.21,41.57,21.18,28.96,81.18,6.72,44.57,mungbean
20.45,54.25,18.69,27.9,85.15,6.84,46.61,mungbean
32.0,50.15,15.64,28.1,83.88,6.8,31.09,mungbean
40.29,50.16,20.3,29.39,89.69,6.87,53.43,mungbean
25.78,46.79,19.05,27.88,83.63,6.43,47.03,mungbean
14.89,48.45,19.93,28.61,83.96,7.32,56.0,mungbean
17.53,48.66,18.78,27.74,82.32,6.79,43.24,mungbean
30.81,52.47,22.75,27.86,85.95,6.83,44.54,mungbean
20.37,55.55,20.45,28.98,83.36,6.46,43.94,mungbean
24.26,42.18,19.98,27.23,82.76,6.83,51.27,mungbean
42.65,62.41,17.95,29.07,66.29,7.19,65.64,blackgram
38.08,68.84,18.35,28.7,67.65,7.17,68.09,blackgram
37.37,68.56,22.13,29.06,67.7,7.26,73.74,blackgram
46.83,70.44,22.83,31.12,64.0,6.91,68.39,blackgram
37.26,66.78,22.19,24.52,68.07,7.22,65.78,blackgram
48.26,67.52,22.46,32.46,62.2,7.12,66.73,blackgram
45.5,63.86,23.5,32.6,63.52,6.73,66.05,blackgram
47.61,68.7,22.51,31.97,66.94,7.07,62.29,blackgram
43.83,72.8,19.9,31.26,64.36,6.79,67.04,blackgram
46.85,64.22,19.53,27.65,67.24,6.94,72.95,blackgram
54.17,67.09,17.98,24.79,62.06,6.73,72.67,blackgram
45.69,69.45,15.56,27.01,66.77,7.06,66.95,blackgram
48.39,75.68,19.56,30.17,65.39,7.48,59.63,blackgram
49.1,66.93,21.13,28.36,64.9,7.14,79.17,blackgram
49.85,63.26,19.15,28.87,61.41,6.93,70.25,blackgram
37.35,72.74,20.98,28.16,64.72,7.32,70.25,blackgram
45.05,66.31,20.15,28.72,60.79,7.41,68.08,blackgram
47.39,67.21,18.53,29.54,61.8,7.46,62.87,blackgram
38.81,65.3,22.58,30.04,62.53,7.25,70.24,blackgram
48.23,71.08,24.79,35.46,63.63,7.32,68.94,blackgram
47.99,59.04,19.66,27.97,66.66,7.21,59.72,blackgram
44.87,73.11,19.63,31.82,65.7,7.07,66.48,blackgram
37.7,61.89,21.42,30.05,64.72,6.92,66.36,blackgram
51.28,65.82,17.32,31.86,64.59,7.01,73.53,blackgram
44.88,68.95,17.64,29.45,66.22,6.69,68.25,blackgram
45.6,67.71,22.07,30.84,67.96,6.8,68.01,blackgram
45.51,62.15,21.91,35.81,64.97,7.1,67.82,blackgram
40.72,58.4,18.59,26.52,68.41,6.98,66.2,blackgram
50.33,61.89,18.47,30.17,67.06,7.1,68.43,blackgram
45.47,69.5,20.4,27.43,65.09,6.79,67.8,blackgram
42.12,80.2,19.92,26.49,64.73,7.1,73.78,blackgram
41.46,59.59,21.63,26.55,64.13,6.95,67.24,blackgram
49.13,64.08,19.45,29.96,65.3,7.02,69.14,blackgram
50.06,69.46,20.91,26.04,65.1,7.1,70.23,blackgram
40.85,64.2,18.85,31.34,67.07,6.92,70.9,blackgram
45.74,66.88,19.58,31.87,65.65,7.46,64.3,blackgram
48.11,64.85,18.26,29.97,65.27,7.58,66.81,blackgram
38.22,68.87,15.85,29.77,65.03,7.16,71.15,blackgram
41.98,66.75,18.47,27.18,65.62,6.75,65.95,blackgram
39.03,70.25,23.6,26.75,61.29,6.98,67.56,blackgram
46.31,65.27,19.6,30.92,67.08,6.61,66.12,blackgram
46.28,62.91,23.46,28.41,64.92,7.11,65.28,blackgram
33.92,65.36,22.06,29.16,63.31,7.19,66.26,blackgram
41.94,68.25,21.54,35.95,66.65,7.23,65.6,blackgram
38.84,67.81,20.21,27.3,64.65,7.08,68.85,blackgram
48.03,68.95,18.99,28.72,62.6,7.36,67.55,blackgram
43.65,62.86,25.87,27.32,64.14,7.08,69.75,blackgram
50.75,76.54,21.01,27.36,64.49,7.06,75.26,blackgram
36.61,73.51,20.36,32.09,64.8,6.83,70.32,blackgram
48.93,72.36,19.97,28.5,61.88,7.16,69.09,blackgram
39.21,64.81,19.07,26.29,63.36,6.77,65.95,blackgram
40.57,59.36,24.05,33.13,63.44,7.05,69.07,blackgram
52.15,63.41,22.18,28.63,62.33,7.14,72.34,blackgram
60.53,61.5,21.4,28.98,66.57,6.71,62.76,blackgram
40.34,67.89,18.72,31.65,67.05,7.12,73.57,blackgram
47.49,61.42,22.73,28.49,66.82,7.31,69.21,blackgram
36.02,62.91,22.65,29.58,65.16,7.15,70.11,blackgram
46.67,66.46,19.37,32.14,66.11,6.95,71.56,blackgram
44.23,63.24,18.48,27.55,64.46,7.25,64.48,blackgram
46.13,64.22,19.48,26.22,64.56,6.96,69.53,blackgram
46.34,61.51,22.17,30.53,65.4,7.0,65.56,blackgram
46.31,69.88,16.51,28.65,64.49,7.05,71.97,blackgram
40.37,65.01,18.97,28.0,64.31,7.15,63.55,blackgram
47.57,58.99,18.88,29.18,68.35,6.95,59.25,blackgram
33.01,67.67,21.23,30.94,65.34,7.23,65.48,blackgram
50.37,59.34,18.19,25.48,64.45,6.99,67.93,blackgram
45.37,62.86,19.62,26.26,67.73,6.94,65.67,blackgram
54.53,61.29,17.75,27.26,64.86,7.09,70.27,blackgram
60.43,56.25,21.22,28.61,63.83,6.88,64.09,blackgram
55.11,71.71,20.05,33.38,61.97,6.73,59.33,blackgram
40.8,68.31,20.21,30.37,62.18,7.16,68.4,blackgram
49.4,58.04,20.62,27.03,64.21,7.11,67.84,blackgram
39.89,67.53,16.94,32.88,64.59,7.22,65.53,blackgram
41.86,63.68,21.75,28.23,66.29,6.92,60.09,blackgram
41.58,61.6,20.07,27.02,66.85,6.98,66.83,blackgram
48.94,72.32,19.96,28.07,61.45,6.86,65.19,blackgram
45.64,65.77,21.38,28.47,64.89,7.24,68.78,blackgram
44.64,64.49,18.73,27.87,63.92,7.15,66.67,blackgram
36.9,76.34,20.64,26.48,64.12,7.02,73.89,blackgram
38.35,72.38,22.8,28.43,64.44,6.79,66.74,blackgram
44.78,70.8,22.18,28.13,61.07,7.0,68.6,blackgram
46.5,65.87,20.25,33.79,65.76,6.93,65.62,blackgram
43.98,75.68,19.63,29.95,64.04,7.22,74.85,blackgram
47.7,67.91,20.07,24.04,66.49,7.03,69.11,blackgram
40.73,65.58,19.18,32.55,64.24,7.42,69.12,blackgram
37.35,66.86,18.7,24.51,68.2,7.14,69.5,blackgram
45.99,60.59,19.03,32.1,62.9,6.49,66.65,blackgram
44.15,68.18,21.46,31.59,65.52,7.24,61.8,blackgram
48.03,70.63,17.52,26.24,63.51,6.87,70.33,blackgram
41.31,63.22,18.78,32.8,65.03,6.96,67.09,blackgram
52.75,63.75,22.63,30.53,64.68,7.5,63.54,blackgram
42.88,61.34,21.9,34.22,68.34,7.24,66.76,blackgram
42.81,59.14,24.07,31.17,64.02,7.27,63.85,blackgram
47.44,66.64,21.28,29.84,62.1,7.02,71.43,blackgram
44.82,71.38,17.91,29.93,63.75,7.15,67.62,blackgram
49.14,72.94,21.38,30.68,63.0,7.0,65.5,blackgram
42.94,65.63,18.04,25.11,63.66,7.04,62.44,blackgram
45.09,77.0,22.05,34.11,65.78,7.23,64.79,blackgram
41.13,53.8,22.37,33.85,63.89,6.95,64.67,blackgram
47.3,73.12,16.51,31.02,64.45,7.02,69.22,blackgram
23.87,66.98,19.57,26.91,65.84,6.82,38.65,lentil
22.73,71.99,20.08,25.98,68.53,7.06,45.47,lentil
21.93,54.73,19.66,23.02,65.78,6.7,43.4,lentil
14.32,62.8,20.95,29.15,64.8,6.85,49.76,lentil
20.13,69.33,18.52,26.59,65.3,6.84,41.09,lentil
29.24,77.92,17.98,22.98,65.46,6.99,42.2,lentil
8.0,74.3,21.52,18.77,63.78,7.22,52.24,lentil
30.63,66.62,20.17,23.61,67.26,6.49,40.97,lentil
31.06,67.28,22.76,21.99,64.89,6.47,45.04,lentil
16.13,65.06,17.13,26.08,66.43,6.23,51.67,lentil
39.98,67.73,18.72,32.47,62.36,6.76,45.9,lentil
33.07,69.3,19.0,21.15,64.32,6.45,45.24,lentil
21.61,60.03,22.51,22.51,62.46,6.7,45.34,lentil
14.52,69.16,17.91,29.13,66.05,6.63,41.27,lentil
24.37,70.56,19.95,23.35,65.12,6.57,43.28,lentil
12.49,72.37,20.6,21.68,68.8,6.78,39.82,lentil
30.14,69.49,20.79,22.72,65.9,6.67,47.78,lentil
13.57,65.33,23.44,21.7,63.79,6.62,38.93,lentil
11.75,66.35,20.27,23.84,64.71,6.76,50.11,lentil
23.86,64.63,19.44,25.74,67.82,6.56,45.49,lentil
27.03,62.54,20.04,19.6,61.46,6.86,43.08,lentil
26.21,67.41,18.05,23.86,62.53,7.17,38.22,lentil
23.83,62.29,21.14,23.01,63.96,7.01,45.15,lentil
28.1,62.59,17.19,24.32,64.36,6.94,44.6,lentil
26.23,59.38,23.78,23.51,66.4,6.5,46.54,lentil
17.18,69.76,19.29,24.09,66.4,6.38,41.58,lentil
27.74,77.99,19.72,25.77,64.79,7.33,36.26,lentil
25.57,59.37,14.99,24.89,65.28,6.66,44.47,lentil
43.59,66.21,21.02,22.05,65.59,6.68,42.95,lentil
35.91,73.39,20.27,17.09,64.28,7.56,43.85,lentil
31.62,74.71,20.44,21.47,60.13,6.96,40.93,lentil
26.06,61.25,19.47,24.1,65.54,6.42,50.98,lentil
21.42,59.13,19.78,24.1,65.32,7.16,43.82,lentil
24.28,61.98,21.64,24.55,64.16,6.18,52.22,lentil
17.63,64.54,20.72,20.41,62.01,6.11,48.6,lentil
21.73,82.14,18.01,21.24,63.87,6.82,42.65,lentil
28.67,62.61,17.24,18.61,60.55,6.59,43.5,lentil
21.21,73.72,22.46,23.0,61.41,6.58,42.0,lentil
21.06,64.01,18.69,22.84,63.73,6.81,46.8,lentil
19.54,73.86,18.04,19.15,65.76,6.5,46.61,lentil
10.58,74.46,21.34,19.5,62.04,7.25,41.31,lentil
